session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,101XM_02,DSC_1595.NEF,1,0,False,ok,0.9555,32.095,38.151,39.323,39.504,39.323,-31.489,6.174,0.626,6.0,8.0,132.0,253.0,0.962,1.058,0.0,5.533,1.5,080e0d95bbf38332,,K:\data\photo\厦门\101XM_02\DSC_1595.NEF
厦门,101XM_02,DSC_1626.NEF,8,-1,False,ok,0.9688,36.137,39.914,40.787,41.205,52.764,-34.42,0.137,11.006,17.0,21.0,126.0,247.0,0.049,0.248,0.0,45.182,1.5,30b8b8b8a4b8a0e0,,K:\data\photo\厦门\101XM_02\DSC_1626.NEF
厦门,101XM_02,DSC_1662.NEF,1,0,False,ok,0.972,40.458,41.021,41.385,41.673,41.385,-35.736,-2.798,18.761,8.0,10.0,136.0,246.0,0.583,0.43,0.0,55.933,1.5,800000000cce64ee,,K:\data\photo\厦门\101XM_02\DSC_1662.NEF
厦门,101XM_02,DSC_1724.NEF,1,0,False,ok,0.9414,23.483,24.853,26.142,26.479,26.142,-23.189,0.503,-3.669,8.0,10.0,193.0,255.0,0.917,2.576,0.0,8.108,1.5,e1e5cdcdcd9dc892,,K:\data\photo\厦门\101XM_02\DSC_1724.NEF
厦门,101XM_02,DSC_1740.NEF,1,0,False,ok,0.9685,12.193,12.814,14.019,14.161,14.019,-12.086,-1.387,-0.817,1.0,2.0,48.0,109.0,21.881,15.434,0.0,0.0,1.5,f0f89ab69fbd59ca,,K:\data\photo\厦门\101XM_02\DSC_1740.NEF
厦门,101XM_02,DSC_1783.NEF,1,0,False,ok,0.9684,6.795,7.598,8.489,8.536,8.489,-6.074,-0.625,-2.982,2.0,3.0,38.0,77.0,34.435,31.535,0.0,0.0,1.5,f012f2aac886c554,,K:\data\photo\厦门\101XM_02\DSC_1783.NEF
厦门,101XM_02,DSC_1829.NEF,8,-1,False,ok,0.9792,32.158,33.202,34.06,34.437,40.46,-31.749,-0.085,5.112,8.0,7.0,104.0,219.0,0.37,0.823,0.0,1.05,1.5,9cccd83b3b78ec8c,,K:\data\photo\厦门\101XM_02\DSC_1829.NEF
厦门,101XM_02,DSC_1865.NEF,1,0,False,ok,0.9437,20.726,21.923,23.883,24.493,23.883,-20.352,2.185,-3.251,6.0,8.0,188.0,254.0,2.295,3.068,0.076,3.189,1.5,b9997dadba9d4ffe,,K:\data\photo\厦门\101XM_02\DSC_1865.NEF
厦门,101XM_02,DSC_1921.NEF,8,-1,False,ok,0.8968,24.378,25.84,30.642,32.302,45.882,-22.279,6.257,-7.666,13.0,17.0,255.0,255.0,0.074,1.142,5.021,16.737,1.5,08499d3c7cc86969,,K:\data\photo\厦门\101XM_02\DSC_1921.NEF
厦门,101XM_02,DSC_1942.NEF,6,1,False,ok,0.9098,23.089,24.45,26.176,27.506,43.081,-22.544,1.517,-4.75,11.0,16.0,255.0,255.0,0.296,0.171,4.921,14.491,1.5,cee6ae23230b83ce,,K:\data\photo\厦门\101XM_02\DSC_1942.NEF
厦门,101XM_02,DSC_2053.NEF,8,-1,False,ok,0.9535,32.287,34.696,35.39,35.443,49.184,-32.014,2.023,3.675,13.0,13.0,147.0,252.0,0.103,0.239,0.0,35.984,1.5,fcfcf8dad2f2f6f4,,K:\data\photo\厦门\101XM_02\DSC_2053.NEF
厦门,101XM_02,DSC_2092.NEF,8,-1,False,ok,0.9854,25.937,27.196,28.237,28.615,37.093,-25.761,2.24,-2.012,5.0,7.0,122.0,232.0,2.373,0.642,0.0,0.949,1.5,cecfe7cfcd9ee5e4,,K:\data\photo\厦门\101XM_02\DSC_2092.NEF
厦门,101XM_02,DSC_2159.NEF,1,0,False,ok,0.9868,28.045,28.818,29.353,29.661,29.353,-28.035,0.002,0.734,3.0,7.0,104.0,206.0,3.06,0.262,0.0,0.733,1.5,fe9c9cae2c6e5b58,,K:\data\photo\厦门\101XM_02\DSC_2159.NEF
厦门,101XM_02,DSC_2277.NEF,8,-1,False,ok,0.9779,32.44,33.846,35.2,35.9,46.174,-31.289,-1.125,8.489,6.0,7.0,126.0,241.0,3.316,2.006,0.0,32.229,1.5,ecec6c66ec36b4dc,,K:\data\photo\厦门\101XM_02\DSC_2277.NEF
厦门,101XM_02,DSC_2431.NEF,8,-1,False,ok,0.9565,29.108,30.814,31.701,32.053,39.93,-27.747,-1.954,8.575,3.0,5.0,114.0,235.0,1.243,0.926,0.018,0.57,1.5,5090b2e270e3d0d1,,K:\data\photo\厦门\101XM_02\DSC_2431.NEF
厦门,101XM_02,DSC_2435.NEF,8,-1,False,ok,0.9591,27.646,29.209,30.223,30.565,38.608,-26.562,-1.696,7.477,1.0,2.0,114.0,234.0,2.024,1.556,0.017,0.691,1.5,9890f3f0f0f1d8d0,,K:\data\photo\厦门\101XM_02\DSC_2435.NEF
厦门,101XM_02,DSC_2436.NEF,8,-1,False,ok,0.9582,28.008,29.514,30.528,30.891,38.937,-26.878,-1.669,7.694,1.0,2.0,114.0,235.0,2.09,1.604,0.018,0.637,1.5,9090d2f2f0f1d0d0,,K:\data\photo\厦门\101XM_02\DSC_2436.NEF
厦门,101XM_02,DSC_2464.NEF,8,-1,False,weak,0.8442,37.312,37.976,38.633,39.609,40.632,-36.527,-2.893,-7.038,31.0,47.0,207.0,252.0,0.0,0.001,0.818,28.266,1.5,f0787878f8f8f8f8,,K:\data\photo\厦门\101XM_02\DSC_2464.NEF
厦门,101XM_02,DSC_2493.NEF,8,-1,False,ok,0.9633,5.46,5.806,6.506,6.512,11.939,-3.971,-1.084,-3.588,0.0,2.0,80.0,182.0,58.624,45.427,0.027,0.805,1.5,40f060387000c0a2,,K:\data\photo\厦门\101XM_02\DSC_2493.NEF
厦门,102XM_03,DSC_2530.NEF,1,0,False,ok,0.8605,24.882,29.764,37.12,40.096,37.12,-23.243,-8.878,0.147,5.0,7.0,255.0,255.0,11.283,16.0,3.307,15.932,1.5,eccc84916a62d786,,K:\data\photo\厦门\102XM_03\DSC_2530.NEF
厦门,102XM_03,DSC_2617.NEF,8,-1,False,ok,0.9222,34.864,35.339,36.71,37.419,39.996,-34.831,-0.94,-1.174,13.0,17.0,148.0,252.0,0.034,0.061,0.0,1.746,1.5,ba8ce5a68383e6c8,,K:\data\photo\厦门\102XM_03\DSC_2617.NEF
厦门,102XM_03,DSC_2620.NEF,8,-1,False,ok,0.8652,39.171,39.232,39.673,40.279,39.92,-39.104,-0.131,-2.294,40.0,69.0,115.0,237.0,0.0,0.001,0.0,0.168,1.5,c2e3d1484422d1f0,,K:\data\photo\厦门\102XM_03\DSC_2620.NEF
厦门,102XM_03,DSC_2672.NEF,1,0,False,ok,0.9634,35.432,35.893,36.666,36.863,36.666,-35.137,0.588,4.524,21.0,32.0,139.0,243.0,0.01,0.036,0.0,0.484,1.5,e0c005c4c6e34b0a,,K:\data\photo\厦门\102XM_03\DSC_2672.NEF
厦门,102XM_03,DSC_2685.NEF,1,0,False,ok,0.9562,34.451,34.823,35.439,35.979,35.439,-34.358,0.527,2.472,6.0,7.0,188.0,254.0,0.563,0.38,0.0,2.284,1.5,d0d4c6c6ce9c1c1e,,K:\data\photo\厦门\102XM_03\DSC_2685.NEF
厦门,103XM_04,DSC_2798.NEF,1,0,False,ok,0.961,34.807,35.59,36.059,36.331,36.059,-34.623,0.085,3.572,9.0,10.0,114.0,221.0,0.163,0.183,0.0,27.926,1.5,c0809c90989c86d4,,K:\data\photo\厦门\103XM_04\DSC_2798.NEF
厦门,103XM_04,DSC_2799.NEF,1,0,False,ok,0.9577,35.159,35.926,36.202,36.395,36.202,-34.954,0.089,3.794,10.0,11.0,114.0,217.0,0.15,0.18,0.0,29.664,1.5,c0c0d491989e8cd4,,K:\data\photo\厦门\103XM_04\DSC_2799.NEF
厦门,103XM_04,DSC_2923.NEF,1,0,False,ok,0.9104,33.623,35.309,37.872,38.186,37.872,-33.458,1.19,-3.106,16.0,16.0,168.0,253.0,1.73,1.035,0.074,49.207,1.5,e0e0a99473e3ccdc,,K:\data\photo\厦门\103XM_04\DSC_2923.NEF
厦门,103XM_04,DSC_2981.NEF,1,0,False,ok,0.9611,27.584,27.802,27.967,28.088,27.967,-27.51,-1.337,-1.512,14.0,19.0,142.0,233.0,0.612,0.005,0.0,0.116,1.5,a4a6ab97b7c9e87a,,K:\data\photo\厦门\103XM_04\DSC_2981.NEF
厦门,103XM_04,DSC_2998.NEF,8,-1,False,ok,0.983,24.712,25.203,25.357,25.399,30.872,-24.476,-2.511,-2.306,10.0,12.0,130.0,229.0,0.411,0.069,0.0,0.035,1.5,c84612113192ccc0,,K:\data\photo\厦门\103XM_04\DSC_2998.NEF
西安,raw,DSC_6019.NEF,1,0,False,ok,0.9712,28.909,29.335,29.815,30.323,29.815,-28.523,3.229,-3.428,17.0,49.0,88.0,184.0,0.0,0.0,0.0,0.0,1.5,f8f4cc5c94e0e0e2,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6019.NEF
西安,raw,DSC_6040.NEF,1,0,False,ok,0.9484,29.205,29.771,31.833,32.732,31.833,-29.08,-0.551,-2.635,9.0,28.0,210.0,255.0,0.118,0.001,0.309,8.406,1.5,ad1588cbab9d1f1f,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6040.NEF
西安,raw,DSC_6073.NEF,8,-1,False,ok,0.9672,25.467,26.538,27.848,28.419,33.413,-25.376,-1.123,-1.834,4.0,13.0,118.0,215.0,2.46,0.061,0.001,0.074,1.5,5b5e49292f97b2b4,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6073.NEF
西安,raw,DSC_6074.NEF,8,-1,False,ok,0.9654,25.246,26.358,27.694,28.157,32.817,-25.163,-1.012,-1.778,3.0,13.0,118.0,218.0,2.587,0.105,0.0,0.062,1.5,5b5d4879299fb2b4,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6074.NEF
西安,raw,DSC_6135.NEF,6,1,False,ok,0.9612,25.124,25.917,27.75,29.156,34.137,-25.051,-0.906,-1.681,4.0,15.0,162.0,239.0,2.882,0.002,0.0,0.132,1.5,ac9dc0d8b8a04c7c,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6135.NEF
西安,raw,DSC_6274.NEF,1,0,False,ok,0.9621,26.054,31.133,35.11,36.344,35.11,-25.265,-3.489,5.324,6.0,21.0,182.0,253.0,30.851,3.616,0.0,3.487,1.5,a56169e1e9e4738c,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6274.NEF
西安,raw,DSC_6300.NEF,8,-1,False,ok,0.9816,29.553,31.99,33.108,33.865,41.489,-28.983,-0.722,-5.727,4.0,17.0,78.0,182.0,12.975,2.537,0.0,0.0,1.5,ef6f4f9f9d9d96c0,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6300.NEF
西安,raw,DSC_6369.NEF,1,0,False,ok,0.9675,26.674,28.983,30.721,31.843,30.721,-25.413,4.406,-6.799,13.0,35.0,211.0,255.0,0.147,0.004,10.619,26.289,1.5,606a6aa3b61bcfc7,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6369.NEF
西安,raw,DSC_6403.NEF,1,0,False,ok,0.9859,31.935,32.089,32.221,32.452,32.221,-31.85,-0.056,-2.326,28.0,75.0,144.0,225.0,0.0,0.0,0.0,0.0,1.5,f6b1b2cecee7c30b,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6403.NEF
西安,raw,DSC_6506.NEF,8,-1,False,ok,0.9709,29.67,30.295,31.777,32.262,37.552,-29.585,0.622,-2.161,6.0,20.0,124.0,215.0,0.587,0.002,0.0,0.001,1.5,e7e7a7a3a3b3a3e7,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6506.NEF
西安,raw,DSC_6558.NEF,8,-1,False,ok,0.9834,23.68,25.268,26.738,27.378,31.694,-23.379,-0.098,-3.759,8.0,24.0,101.0,187.0,0.64,0.006,0.0,0.014,1.5,92b0823830d050d0,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6558.NEF
西安,raw,DSC_6562.NEF,1,0,False,ok,0.9373,30.91,32.177,33.737,34.205,33.737,-29.784,5.027,-6.562,12.0,37.0,113.0,218.0,0.064,0.0,0.004,0.271,1.5,74f0fc9280f4e86a,,K:\data\photo\西安\20260912_qlysdwy\raw\DSC_6562.NEF
