session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,101XM_02,DSC_2042.NEF,1,0,False,ok,0.9434,3.391,6.907,10.12,10.471,10.12,-1.064,-2.548,1.969,25.0,10.0,241.0,236.0,0.0,0.466,17.868,24.999,1.5,fef88810cec080a0,,K:\data\photo\厦门\101XM_02\DSC_2042.NEF
厦门,101XM_02,DSC_2049.NEF,8,-1,False,ok,0.9764,2.848,6.241,10.636,12.688,42.072,-0.252,-2.837,-0.027,17.0,8.0,253.0,252.0,0.114,0.622,19.356,25.028,1.5,b4b6b5d535b5f2f6,,K:\data\photo\厦门\101XM_02\DSC_2049.NEF
厦门,101XM_02,DSC_2056.NEF,8,-1,False,ok,0.9634,4.471,7.892,10.827,11.458,46.341,-0.203,-3.13,3.186,28.0,11.0,253.0,253.0,0.001,0.382,22.433,36.509,1.5,fcfcfcdaf2f6f4f4,,K:\data\photo\厦门\101XM_02\DSC_2056.NEF
厦门,101XM_02,DSC_2057.NEF,8,-1,False,ok,0.9655,4.469,7.632,10.612,11.264,46.74,0.037,-3.142,3.177,27.0,12.0,253.0,252.0,0.0,0.299,22.905,36.699,1.5,fcfcf89af2f6f4f4,,K:\data\photo\厦门\101XM_02\DSC_2057.NEF
厦门,101XM_02,DSC_2068.NEF,8,-1,False,ok,0.9566,5.583,9.057,11.847,12.443,51.01,-0.103,-3.674,4.204,27.0,11.0,253.0,254.0,0.001,0.373,22.332,40.944,1.5,e8e8ecdcf4f4e4e4,,K:\data\photo\厦门\101XM_02\DSC_2068.NEF
厦门,101XM_02,DSC_2077.NEF,1,0,False,ok,0.9747,7.31,10.118,12.279,12.338,12.279,0.431,-3.377,6.469,18.0,7.0,253.0,236.0,0.015,0.57,16.217,26.659,1.5,80800008c5ee84a0,,K:\data\photo\厦门\101XM_02\DSC_2077.NEF
厦门,101XM_02,DSC_2079.NEF,1,0,False,ok,0.9763,6.826,9.628,11.955,12.019,11.955,0.087,-3.268,5.993,15.0,8.0,252.0,236.0,0.024,0.446,14.48,24.97,1.5,80000088c7ec88a0,,K:\data\photo\厦门\101XM_02\DSC_2079.NEF
厦门,101XM_02,DSC_2084.NEF,1,0,False,ok,0.9772,6.2,9.347,11.407,11.407,11.407,-0.086,-3.013,5.418,12.0,6.0,252.0,235.0,0.165,1.418,13.785,24.455,1.5,80800088c79c9890,,K:\data\photo\厦门\101XM_02\DSC_2084.NEF
厦门,101XM_02,DSC_2085.NEF,1,0,False,ok,0.9779,6.046,9.299,11.152,11.139,11.152,0.033,-2.974,5.264,11.0,6.0,252.0,235.0,0.344,1.98,13.426,23.62,1.5,80008098d79c9890,,K:\data\photo\厦门\101XM_02\DSC_2085.NEF
厦门,101XM_02,DSC_2089.NEF,8,-1,False,ok,0.9847,1.503,6.916,10.475,12.024,36.762,-0.69,-1.257,0.448,13.0,7.0,250.0,233.0,0.001,0.538,1.525,1.23,1.5,cecfe7cfecdff5e6,,K:\data\photo\厦门\101XM_02\DSC_2089.NEF
